TABLE_NAME;TABLE_ALIAS;COLUMN_NAME;COLUMN_LABEL;COLUMN_DESC
REF_START_TA0990H8NATOPE;NATOPE;H8LDES11;NATure d'Opération (NATO) détaillée;NATO, mode de regroupement les opérations par nature comptable homogène, permettant de réaliser des rapprochements entre agrégats risques et comptables.
PRTY_AGMT;PTA_PRN;PRNCPAL_PRTY_ENT_ID;Entité rattachée au Tiers principal;Entité rattachée au Tiers principal
PRTY_AGMT;PTA_PRN;PRNCPAL_PRTY_ID;Identifiant du Tiers principal;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
PRTY_AGMT;PTA_PRN;PRNCPAL_PRTY_REF_TIGRE_IND;Indicateur de gestion centralisée du tiers principal;"Permet d'indiquer que le Tiers est géré en central
Si tel est le cas (indicateur = Y), l'identifiant du tiers sera l'identifiant central sinon il s'agira de l'identifiant local du tiers
Valeurs possibles : Y, N"
EXPSR_AGMT;EX;BSL_PTFOL_CD;Portefeuille bale opération;"Code opération dans le corpus Bâlois
Permet d'identifier le portefeuille de Bâle opération associé."
REF_START_TA0990KVPTFO;PTFO;KVLIBBAL;Libellé Portefeuille Bâle Opération;Libellé du Portefeuille Bâle Opération
PRTY_AGMT;PTA_PRN;CALCD_WTD_ASSET_CLAS_CD;#N/A;#N/A
PRTY_AGMT;PTA_PRN;CALCD_WTD_ASSET_CLAS_LB;Libellé Proxy Classe d'actif de pondération;La Classe d'Actif de Pondération est une nomenclature Groupe CA permettant de classer les activités du Groupe de manière homogène avec les portefeuilles de Bâle Tiers et Opérations et les courbes de pondération Bâle II. Calcul effectué dans la ZP
PRTY_AGMT;PTA_PRN;BNFRY_PRTY_ENT_ID;Entité rattachée au Tiers bénéficiaire;Entité rattachée au Tiers bénéficiaire
PRTY_AGMT;PTA_PRN;BNFRY_PRTY_ID;Identifiant du Tiers Bénéficiaire;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
PRTY_AGMT;PTA_PRN;LENDG_LEG_ISSUR_PRTY_ENT_ID;Entité rattachée au Tiers Emetteur - Jambe emprunteuse;Entité rattachée au Tiers Emetteur - Jambe emprunteuse
PRTY_AGMT;PTA_PRN;LENDG_LEG_ISSUR_PRTY_ID;Tiers Emetteur - Jambe emprunteuse;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
PRTY_AGMT;PTA_PRN;BORWG_LEG_ISSUR_PRTY_ENT_ID;Entité rattachée au Tiers - Jambe emprunteuse;Entité rattachée au Tiers - Jambe emprunteuse
PRTY_AGMT;PTA_PRN;BORWG_LEG_ISSUR_PRTY_ID;Identifiant du Tiers - Jambe emprunteuse;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
PRTY_AGMT;PTA_PRN;GUARTR_PRTY_ENT_ID;Entité rattachée au Tiers garant;Entité rattachée au Tiers garant
PRTY_AGMT;PTA_PRN;GUARTR_PRTY_ID;Identifiant du Tiers Garant;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
PRTY_AGMT;PTA_PRN;UNDRLY_ISSUR_PRTY_ENT_ID;Entité rattachée à l'émetteur du sous jacent;Entité rattachée à l'émetteur du sous jacent
PRTY_AGMT;PTA_PRN;UNDRLY_ISSUR_PRTY_ID;Identifiant du Tiers Emetteur du sous jacent;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
PRTY_AGMT;PTA_PRN;CVRD_THIRD_PRTY_ENT_ID;Entité rattachée au Tiers couvert;Entité rattachée au Tiers couvert
PRTY_AGMT;PTA_PRN;CVRD_THIRD_PRTY_ID;Tiers couvert;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
PRTY_AGMT;PTA_PRN;CLEARING_HOUSE_PRTY_ENT_ID;Entité rattachée au Tiers Chambre de compensation;Entité rattachée au Tiers Chambre de compensation
PRTY_AGMT;PTA_PRN;CLEARING_HOUSE_PRTY_ID;Identifiant du Tiers Chambre de compensation;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
PRTY_AGMT;PTA_PRN;ISSUR_PRTY_ENT_ID;#N/A;#N/A
PRTY_AGMT;PTA_PRN;ISSUR_PRTY_ID;Identifiant du Tiers Emetteur;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
EXPSR_AGMT;EX;AGMT_RISK_OFF_BAL_SHET_IND;Indicateur bilan hors bilan;Indicateur bilan / hors bilan
PRTY_AGMT;PTA_PRN;CALCD_BASE_EURO_AMT;Montant Base en  euro;Montant de base en devise euro
AGMT;AG;SCHD_STGE_NB;Nombre de paliers;Indique le nombre de paliers
AGMT_BAL_TYPE_MTRC;BAL;UNDRWN_AMT;Montant PNU;Montant de la PNU (Part Non Utilisée)
AGMT_BAL_TYPE_MTRC;BAL;UNDRWN_AMT_CURY_CD;Devise PNU;Devise de la Part Non Utilisée
AGMT_BAL_TYPE_MTRC;BAL;UNDRWN_EURO_AMT;Montant PNU (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;ENDG_LEDGR_BAL_AMT;Solde;Solde débiteur / Solde créditeur
AGMT_BAL_TYPE_MTRC;BAL;ENDG_LEDGR_BAL_AMT_CURY_CD;Devise solde compte;Devise d'expression du solde du compte
AGMT_BAL_TYPE_MTRC;BAL;ENDG_LEDGR_BAL_EURO_AMT;Solde de compte en devise (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;OVRDRFT_BAL_AMT;Montant découvert;"Montant de découverts
Comprend les paiements carte différés"
AGMT_BAL_TYPE_MTRC;BAL;OVRDRFT_BAL_AMT_CURY_CD;Devise découvert;Devise d'expression du découvert (LC.0005)
AGMT_BAL_TYPE_MTRC;BAL;OVRDRFT_BAL_EURO_AMT;Montant découvert (euros);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;CPTL_OUTST_AMT;Montant capital restant dû;"Montant du Capital restant dû
Montant des intérêts à recevoir dans le cas d'engagement par signature"
AGMT_BAL_TYPE_MTRC;BAL;CPTL_OUTST_AMT_CURY_CD;Devise capital restant dû;Devise du Capital restant dû
AGMT_BAL_TYPE_MTRC;BAL;CPTL_OUTST_EURO_AMT;CRD à date darrêté (euro);Correspond à lencours à date darrêté du contrat, il est exprimé dans la devise dorigine du contrat. Pour les contrats non démarré, correspond au nominal initial.
AGMT_BAL_TYPE_MTRC;BAL;AGMT_ASSET_LEASG_AMT;Montant loyers;Montant des loyers
AGMT_BAL_TYPE_MTRC;BAL;AGMT_ASSET_LEASG_CURY_CD;Devise loyers;Devise des loyers
AGMT_BAL_TYPE_MTRC;BAL;AGMT_ASSET_LEASG_EURO_AMT;Montant loyers (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;LTR_OF_CR_NMNL_AMT;Montant nominal EPS;Montant du nominal de l'engagement par signature
AGMT_BAL_TYPE_MTRC;BAL;LTR_OF_CR_NMNL_AMT_CURY_CD;Devise montant nominal EPS;Devise du montant nominal de l'engagement par signature
AGMT_BAL_TYPE_MTRC;BAL;LTR_OF_CR_NMNL_EURO_AMT;Montant nominal EPS (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;MK_TO_MKT_AMT;Montant MtM;Montant de Mark-to-market
AGMT_BAL_TYPE_MTRC;BAL;MK_TO_MKT_AMT_CURY_CD;Devise montant MtM;Devise du montant du MtM
AGMT_BAL_TYPE_MTRC;BAL;MK_TO_MKT_EURO_AMT;"Juste valeur (euro)

";Correspond à la valorisation d'actifs et de passifs sur la base d'une estimation de leur valeur de marché ou de leur valeur d'utilité par actualisation des flux de trésorerie estimés attendus de leur utilisation.
AGMT_BAL_TYPE_MTRC;BAL;LENDG_LEG_MTM_AMT;Montant MtM jambe prêteuse;Mark-to-Market de la jambe prêteuse
AGMT_BAL_TYPE_MTRC;BAL;LENDG_LEG_MTM_AMT_CURY_CD;Devise montant MtM - jambe prêt.;Devise d'expression du Mark-to-Market.
AGMT_BAL_TYPE_MTRC;BAL;LENDG_LEG_MTM_EURO_AMT;Montant MtM jambe prêteuse (euros);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_MTM_AMT;Montant MtM - Jambe emprunteuse;Mark-to-Market de la jambe emprunteuse
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_MTM_AMT_CURY_CD;Devise montant MtM - Jambe emp.;Devise d'expression du Mark-to-Market.
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_MTM_EURO_AMT;Mark-to-Market - Jambe emprunteuse (euro);Mark-to-Market de la jambe emprunteuse,  contrevalorisé en euro
AGMT_BAL_TYPE_MTRC;BAL;RLTD_CUR_ACCT_BAL_AMT;Solde compte courant associé;Solde du compte courant d'associé
AGMT_BAL_TYPE_MTRC;BAL;RLTD_CUR_ACCT_BAL_CURY_CD;Devise solde compte courant associé;Devise d'expression du solde du compte
AGMT_BAL_TYPE_MTRC;BAL;RLTD_CUR_ACCT_BAL_EURO_AMT;Montant Solde compte courant d'associé (euro);Signe du montant, partie entière, Partie décimale
AGMT_BAL_TYPE_MTRC;BAL;OPRTN_DT_OUTST_AMT;Encours à Date d'arrêté;Encours en date dopération en devise dorigine
AGMT_BAL_TYPE_MTRC;BAL;OPRTN_DT_OUTST_AMT_CURY_CD;Devise encours à date d'arrêté;Code devise encours à date d'arrêté
AGMT_BAL_TYPE_MTRC;BAL;OPRTN_DT_OUTST_EURO_AMT;Encours en date dopération en contrevaleur;Encours en date dopération en contrevaleur
AGMT_BAL_TYPE_MTRC;BAL;OUTST_AMT;Encours à Date d'arrêté en devise d'origine;Encours à la Date d'arrêté en devise d'origine en NF
AGMT_BAL_TYPE_MTRC;BAL;OUTST_AMT_CURY_CD;Devise encours en date d'arrêté;Code devise de l'encours à la Date d'arrêté/Devise dans laquelle le contrat a été signé
AGMT_BAL_TYPE_MTRC;BAL;OUTST_EURO_AMT;Encours à Date d'arrêté (euro);Encours à la Date d'arrêté en contrevaleur en NF
AGMT_BAL_TYPE_MTRC;BAL;AMT_DRCTN_CD;Sens du montant à date d'arrêté;Sens du montant à date d'arrêté
AGMT_BAL_TYPE_MTRC;BAL;ACRUD_INT_NOT_DUE_AMT;Montant ICNE;Somme des intérêts courus non échus à la Date d'arrêté
AGMT_BAL_TYPE_MTRC;BAL;ACRUD_INT_NOT_DUE_AMT_CURY_CD;Devise de paiement des ICNE;Devise dans laquelle les échanges d'intérêt sont réalisés
AGMT_BAL_TYPE_MTRC;BAL;ACRUD_INT_NOT_DUE_EURO_AMT;Montant Intérêts courus non échus (euro);Montant des intérêts Courus Non Echus à la date d'arrêté, en contrevaleur euro
AGMT_BAL_TYPE_MTRC;BAL;AMRTZD_COST_AMT;Montant coût amorti;Montant du coût amorti
AGMT_BAL_TYPE_MTRC;BAL;AMRTZD_COST_AMT_CURY_CD;Devise montant coût amorti;Devise du montant du coût amorti
AGMT_BAL_TYPE_MTRC;BAL;AMRTZD_COST_EURO_AMT;Montant coût amorti (euros);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;ASSET_HRCT_AMT;Montant decote actif deprecie achat;Montant de la décote sur actif déprécié à lachat
AGMT_BAL_TYPE_MTRC;BAL;ASSET_HRCT_AMT_CURY_CD;Devise montant decote actif deprecie achat;Devise du montant de la décote sur actif déprécié à lachat
AGMT_BAL_TYPE_MTRC;BAL;ASSET_HRCT_EURO_AMT;Montant decote actif deprecie achat (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;BASE_COUPN_MTM_AMT;Montant MTM pied coupon;Montant MTM pied coupon
AGMT_BAL_TYPE_MTRC;BAL;BASE_COUPN_MTM_EURO_AMT;Montant  MTM Pied de coupon (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;BASE_COUPN_MTM__AMT_CURY_CD;Devise montant MTM pied de coupon;Devise du montant du MTM Pied de coupon
AGMT_BAL_TYPE_MTRC;BAL;BLNCG_ADJSTMT_AVG_RATE_AMT;Montant ICTM;Montant des ICTM en devise d'origine
AGMT_BAL_TYPE_MTRC;BAL;BLNCG_ADJSTMT_AVG_RATE_AMT_CURY_CD;Devise d'origine montant ICTM;Code devise du montant des indemnités Compensatrices de Taux Moyen (ICTM)
AGMT_BAL_TYPE_MTRC;BAL;BLNCG_ADJSTMT_AVG_RATE_EURO_AMT;Montant ICTM (euro);Montant des indemnités Compensatrices de Taux Moyen
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_MTM_AMT_COA_CD;PCCO montant MtM - Jambe empr.;Numéro du poste comptable PCCO du MtM de la jambe emprunteuse
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_NON_EXPRD_COUPN_AMT;Montant Coupons courus non échus (cessions tempo. de titres) - Jambe empr.;Signe du montant, partie entière, partie décimale
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_NON_EXPRD_COUPN_AMT_CURY_CD;Devise Montant coupons courus non échus - Jambe empr.;Devise d'expression montant des coupons courus non échus de la jambe emprunteuse.
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_NON_EXPRD_COUPN_EURO_AMT;Montant Coupons courus non échus (cessions tempo. de titres) - Jambe empr. (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_OUTST_AMT;Encours à Date d'arrêté en devise - Jambe pay.;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_OUTST_AMT_COAI_CD;Numéro PCI de l'encours (devise achetée) en IFRS;Numéro de compte local (PCI) de l'encours (devise achetée) en IFRS
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_OUTST_AMT_COA_CD;Numéro Compte PCCO Encours en norme IFRS - Jambe empr.;Numéro Compte PCCO de l'encours en norme IFRS en devise achetée - Jambe emprunteuse
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_OUTST_AMT_CURY_CD;Devise encours - Jambe emprunt.;Code devise de l'Encours (jambe emprunteuse)
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_OUTST_EURO_AMT;Encours à Date d'arrêté en devise- Jambe pay (euro);Encours à la Date d'arrêté en devise (jambe payeuse), contrevalorisé en euro
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_PD_INT_AMT;Montant Intérêts payés ou capitalisés - Jambe empr.;Montant des intérêts payés ou capitalisés dans le mois en devise - Jambe emprunteuse
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_PD_INT_AMT_CURY_CD;Devise montant des intérêts payés ou capitalisés - Jambe pay.;Code devise du montant des intérêts payés ou capitalisés dans le mois
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_PD_INT_EURO_AMT;Montant Intérêts payés ou capitalisés  (euro);Montant des intérêts payés ou capitalisés dans le mois (euro)
AGMT_BAL_TYPE_MTRC;BAL;BORWG_LEG_RECNCLN_AGREGAT_ID;Identifiant Agrégat de rapprochement Encours en norme locale - Jambe empr.;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;BUY_LEG_NON_EXPRD_COUPN_AMT;Montant Coupons courus non échus - jambe ach.;Montant des coupons courus non échus de la jambe achetée (dérivés)
AGMT_BAL_TYPE_MTRC;BAL;BUY_LEG_NON_EXPRD_COUPN_AMT_CURY_CD;Devise Montant Coupons  courus non échus - Jambe ach.;Devise d'expression montant des coupons  courus non échus de la jambe achetée.
AGMT_BAL_TYPE_MTRC;BAL;BUY_LEG_NON_EXPRD_COUPN_EURO_AMT;Montant Coupons courus non échus - Jambe ach. (euro);Montant des coupons courus non échus de la jambe achetée (dérivés)
AGMT_BAL_TYPE_MTRC;BAL;COMS_AMT;Montant Accessoires ou CCNE;Montant des accessoires ou des CCNE en devise
AGMT_BAL_TYPE_MTRC;BAL;COMS_AMT_CURY_CD;Devise montant accessoires ou CCNE;Code devise du montant des accessoires, montant des CCNE
AGMT_BAL_TYPE_MTRC;BAL;COMS_EURO_AMT;Montant Accessoires ou CCNE (euro);Commissions,÷
AGMT_BAL_TYPE_MTRC;BAL;COMS_OUTSANDING_AMT;Montant commissions restantes dûes;Montant des commissions dengagement  restantes dûes
AGMT_BAL_TYPE_MTRC;BAL;COMS_OUTSANDING_AMT_CURY_CD;Devise commissions restantes dûes;Devise d'expression des commissions dengagement restantes dûes
AGMT_BAL_TYPE_MTRC;BAL;COMS_OUTSANDING_EURO_AMT;Montant commissions restant dues (euro);Montant des commissions restant dues, contrevalorisées en euro
AGMT_BAL_TYPE_MTRC;BAL;COUPN_NATR_CD;Nature du Coupon;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;CPTLZN_PREM_ELGBL_AMT;Droits à prime à la capitalisation  en devise d'origine;Montant des droits à prime à la capitalisation
AGMT_BAL_TYPE_MTRC;BAL;CPTLZN_PREM_ELGBL_AMT_CURY_CD;Devise droits à prime à la capitalisation;Code devise des droits à prime à la capitalisation
AGMT_BAL_TYPE_MTRC;BAL;CPTLZN_PREM_ELGBL_EURO_AMT;Droits à prime à la capitalisation (euro);Montant des droits à prime à la capitalisation
AGMT_BAL_TYPE_MTRC;BAL;CR_ACRUD_INT_NOT_DUE_AMT;Montant ICNE - crédit;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;CR_ACRUD_INT_NOT_DUE_AMT_CURY_CD;Devise montant ICNE - crédit;vient de depo
AGMT_BAL_TYPE_MTRC;BAL;CR_ACRUD_INT_NOT_DUE_EURO_AMT;ICNE créditeurs (euro);ICNE créditeurs à date d'arrêté
AGMT_BAL_TYPE_MTRC;BAL;CR_ELGBL_AMT;Droits à crédit disponibles;Montant droits à crédit disponibles à date d'arrêté
AGMT_BAL_TYPE_MTRC;BAL;CR_ELGBL_AMT_CURY_CD;Devise droits à crédit disponibles;Code devise des droits à crédit disponibles
AGMT_BAL_TYPE_MTRC;BAL;CR_ELGBL_EURO_AMT;Droits à crédit disponibles (euro);Montant droits à crédit disponibles à date d'arrêté
AGMT_BAL_TYPE_MTRC;BAL;CSH_LEG_AMT;Nominal de la patte cash;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;CSH_LEG_AMT_CURY_CD;Devise Patte Cash;Devise dans laquelle le contrat a été signé
AGMT_BAL_TYPE_MTRC;BAL;CSH_LEG_EURO_AMT;Nominal de la patte cash (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;CUMULATED_RCVRY_AMT;Montant cumulé recouvrements depuis défaut;Montant cumulé recouvrements depuis défaut
AGMT_BAL_TYPE_MTRC;BAL;CUMULATED_RCVRY_AMT_CURY_CD;Devise montant cumulé recouvrements depuis défaut;Devise du montant cumulé des recouvrements depuis le défaut
AGMT_BAL_TYPE_MTRC;BAL;CUMULATED_RCVRY_EURO_AMT;Montant cumulé recouvrements depuis défaut (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;DBTFL_DEBT_PRT_AMT;Montant encours douteux compromis;Montant de l'encour en douteux compromis
AGMT_BAL_TYPE_MTRC;BAL;DBTFL_DEBT_PRT_CURY_CD;Devise montant encours douteux compromis;Devise du capital théorique restant dû
AGMT_BAL_TYPE_MTRC;BAL;DBTFL_DEBT_PRT_EURO_AMT;Montant Encours en douteux compromis (euro);Montant de l'encours en douteux compromis
AGMT_BAL_TYPE_MTRC;BAL;DR_ACRUD_INT_NOT_DUE_AMT;Montant ICNE - débit;"ICNE débiteurs à date d'arrêté
"
AGMT_BAL_TYPE_MTRC;BAL;DR_ACRUD_INT_NOT_DUE_AMT_CURY_CD;Devise ICNE;Code devise des ICNE
AGMT_BAL_TYPE_MTRC;BAL;DR_ACRUD_INT_NOT_DUE_AMT_LIABTY_ASSET_IND;Position Actif ou Passif des ICNE;"""P"" pour un positionnement au passif du bilan, ""A"" pour un positionnement à l'actif."
AGMT_BAL_TYPE_MTRC;BAL;DR_ACRUD_INT_NOT_DUE_EURO_AMT;ICNE débiteurs en contrevaleur;ICNE débiteurs à date d'arrêté
AGMT_BAL_TYPE_MTRC;BAL;EARLY_RPMT_CMPSTN_AMT;Montant IRA en devise;Montant Indemnité de Remboursement Anticipé
AGMT_BAL_TYPE_MTRC;BAL;EARLY_RPMT_CMPSTN_AMT_CURY_CD;Devise montant IRA;Code devise du montant IRA
AGMT_BAL_TYPE_MTRC;BAL;EARLY_RPMT_CMPSTN_EURO_AMT;Montant IRA en contrevaleur (euro);Montant Indemnité de Remboursement Anticipé
AGMT_BAL_TYPE_MTRC;BAL;EARLY_WDRWL_AMT;Montant Retraits anticipés;Montant des retraits anticipés en devise d'origine
AGMT_BAL_TYPE_MTRC;BAL;EARLY_WDRWL_AMT_CURY_CD;Devise montant des retraits anticipés;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;EARLY_WDRWL_EURO_AMT;Montant retraits anticipés (euro);Montant des retraits anticipés partiels depuis l'ouverture du contrat
AGMT_BAL_TYPE_MTRC;BAL;EXRCS_PRC_AMT;Prix exercice;Prix d'exercice
AGMT_BAL_TYPE_MTRC;BAL;EXRCS_PRC_AMT_CURY_CD;Devise prix exercice;Devise du prix d'exercice de l'option(LC.0005)
AGMT_BAL_TYPE_MTRC;BAL;EXRCS_PRC_EURO_AMT;Prix d'exercice (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;EXRCS_PRC_RATE;Prix exercice taux;Prix d'exercice en taux
AGMT_BAL_TYPE_MTRC;BAL;FEES_AMT;Frais;Total des frais à la date d'arrêté
AGMT_BAL_TYPE_MTRC;BAL;FEES_AMT_CURY_CD;Devise frais;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;FEES_EURO_AMT;Frais (euro);Total des frais à la date d'arrêté (euro)
AGMT_BAL_TYPE_MTRC;BAL;FR_GAAP_ACCNTG_AMT;Montant comptable  (devise) (French GAAP);Montant nominal + ICNE - Dépréciation
AGMT_BAL_TYPE_MTRC;BAL;FR_GAAP_ACCNTG_AMT_CURY_CD;Devise montant comptable en French Gaap;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;FR_GAAP_ACCNTG_EURO_AMT;Montant comptable (euro) (French GAAP);Montant nominal + ICNE - Dépréciation
AGMT_BAL_TYPE_MTRC;BAL;FUNDS_NET_ACCNTG_ASSET_AMT;Montant actif net comptable fond;Montant actif net comptable fond
AGMT_BAL_TYPE_MTRC;BAL;FUNDS_NET_ACCNTG_ASSET_AMT_CURY_CD;Devise montant actif net comptable fond;Devise du montant actif net comptable du fond
AGMT_BAL_TYPE_MTRC;BAL;FUNDS_NET_ACCNTG_ASSET_EURO_AMT;Montant actif net comptable du fond (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;GRS_MK_TO_MKT_AMT;Montant MtM brut;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;GRS_MK_TO_MKT_AMT_CURY_CD;Devise montant du MtM brut;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;GRS_MK_TO_MKT_EURO_AMT;Montant MtM brut (euro);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;HLTHY_OUTST_AMT_FR_COAA_CD;Numéro de compte PCCA de l'encours sain en NF;"Numéro de compte PCCA de l'encours sain en NF 
( les autres PCCA des autres montants seront dérivés  à partir de la table START FI24)"
AGMT_BAL_TYPE_MTRC;BAL;HSTCL_AMT;Coût historique de la position;Coût historique de la position hors frais
AGMT_BAL_TYPE_MTRC;BAL;HSTCL_AMT_CURY_CD;Devise coût historique de la position;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;HSTCL_EURO_AMT;Coût historique de la position (euro);Coût historique de la position hors frais
AGMT_BAL_TYPE_MTRC;BAL;IFRS_ACCNTG_AMT;Montant comptable  (devise) (IFRS);Montant nominal + ICNE - Dépréciation
AGMT_BAL_TYPE_MTRC;BAL;IFRS_ACCNTG_AMT_CURY_CD;Devise montant comptable IFRS;Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;IFRS_ACCNTG_EURO_AMT;Montant comptable  (euro) (IFRS);Montant nominal + ICNE - Dépréciation
AGMT_BAL_TYPE_MTRC;BAL;INT_OUTST_AMT;Montant intérêts restants dûs;Montant des intérêts restants dûs
AGMT_BAL_TYPE_MTRC;BAL;INT_OUTST_AMT_COA_CD;Code PCCO intérêts restants dûs;Numéro du poste comptable PCCO des intérêts restant dûs
AGMT_BAL_TYPE_MTRC;BAL;INT_OUTST_AMT_CURY_CD;Devise intérêts restants dûs;Devise d'expression des intérêts restants dûs
AGMT_BAL_TYPE_MTRC;BAL;INT_OUTST_EURO_AMT;Montant intérêts restants dûs (euros);Non renseigné
AGMT_BAL_TYPE_MTRC;BAL;LENDG_LEG_MTM_AMT_COA_CD;Montant PCCO MtM - jambe prêt.;Numéro du poste comptable PCCO du MtM de la jambe prêteuse
